ecc_id,bc_name,Has Adobe SDK
1436516,SOUTHWEST AIRLINES CO.,Y
1436523,DOMO INC.,Y
1436535,PENTAGON FEDERAL CREDIT UNION,Y
1436551,NIKKEI INC,Y
1436557,ARGOS LTD,Y
1436559,ARCADIA GROUP LIMITED,Y
1436560,"AVID TECHNOLOGY, INC.",Y
1436567,THE CO-OPERATIVE BANK PLC,Y
1436572,YUKO YUKO CORPORATION,Y
1436573,NISSAN AUTOMOTIVE EUROPE,Y
1436598,VODAFONE GROUP SERVICES LIMITED,Y
1436603,NEW YORK MEDIA,Y
1436610,NAVISTAR INTERNATIONAL,Y
1436612,JACKSON HEALTHCARE SOLUTIONS,Y
1436615,INVESTOR'S BUSINESS DAILY,Y
1436617,AMERICAN CITY BUSINESS,Y
1436624,GURUNAVI INC,Y
1436639,VIRGIN MONEY (AUSTRALIA),Y
1436641,"THE LAMPO GROUP, LLC",Y
1436644,TOYOTA MOTOR CREDIT CORP.,Y
1436652,"DELTA AIR LINES, INC.",Y
1436699,"DICE HOLDINGS, INC.",Y
1436729,"RECRUIT HOLDINGS CO., LTD.",Y
1436741,AUDI AG,Y
1436757,VUELING AIRLINES S.A.,Y
1436765,E-BOKS AS,Y
1436767,"PRISA TECNOLOGIA, S.L.",Y
1436772,CHIP DIGITAL GMBH,Y
1436789,OK A.M.B.A.,Y
1436801,KROGER CO. (THE),Y
1436807,"NUTRISYSTEM, INC.",Y
1436809,"MARRIOTT OWNERSHIP RESORTS, INC.",Y
1436810,NEW YORK & COMPANY,Y
1436813,NHL INTERACTIVE,Y
1436824,BRITISH TELECOMMUNICATIONS PLC,Y
1436829,RISI INC.,Y
1436839,"THE TJX COMPANIES, INC.",Y
1436848,COLLEGE ENTRANCE EXAMINATION BOARD,Y
1436868,"SPARK NETWORKS USA, LLC",Y
1436879,LA REDOUTE,Y
1436898,BONNIER CORPORATION,Y
1436908,"MARKET AMERICA, INC.",Y
1436919,E-SIXT GMBH & CO. KG,Y
1436940,COOP DANMARK AS,Y
1436955,NOVO NORDISK A/S,Y
1436960,DBS BANK LTD.,Y
1436971,LOREAL PARIS,Y
1436972,TDC A/S,Y
1437003,TRYG FORSIKRING A/S,Y
1437006,"INTERACTIVE ONE,",Y
1437015,FIRST RATE EXCHANGE SERVICES LTD,Y
1437018,HB SVENSKA DAGBLADET & CO AB,Y
1437021,SCANDIC HOTELS AB,Y
1437029,"HEALTH GRADES, INC",Y
1437064,COMCAST CABLE COMMUNICATIONS,Y
1437073,BRANCH BANKING,Y
1437078,SHOPPERS STOP LTD,Y
1437082,DANSK SUPERMARKED AS,Y
1437086,DANSKE BANK AS,Y
1437087,SAFEWAY INC.,Y
1437102,WACKER CHEMIE AG,Y
1437110,ROCKWOOL INTERNATIONAL AS,Y
1437136,"EQUINOX HOLDINGS, INC.",Y
1437141,VOLVO INFORMATION TECHNOLOGY AB,Y
1437160,ADVERSITEMENT B.V.,Y
1437177,INTACT INSURANCE,Y
1437180,CHRISTIES INC.,Y
1437186,SPRD.NET AG,Y
1437209,"BUILD.COM, INC.",Y
1437227,"WB MEDIA RESEARCH AND INSIGHTS,",Y
1437230,"ROGERS COMMUNICATIONS CANADA, INC.",Y
1437235,THOMSON REUTERS HOLDINGS INC,Y
1437241,SKANDINAVISKA ENSKILDA BANKEN AB,Y
1437246,"SCHWAN'S HOME SERVICE, INC.",Y
1437251,COMPARENETWORKS,Y
1437256,"ALASKA AIRLINES, INC.",Y
1437267,VOLKSWAGEN AG,Y
1437274,"LIVFÖRSÄKRINGSBOLAGET SKANDIA,",Y
1437297,"EHARMONY.COM, INC.",Y
1437298,IKANO BANKEN AB (PUBL),Y
1437307,NYKREDIT REALKREDIT AS,Y
1437341,"ADVANCE MAGAZINE PUBLISHERS, INC",Y
1437350,DELL USA LP,Y
1437356,"NAUTILUS, INC.",Y
1437357,INSURANCE AUSTRALIA LIMITED,Y
1437363,AFTONBLADET HIERTA AB,Y
1437390,UNIVERSO ONLINE S.A.,Y
1437394,"DOMINION ENTERPRISES, INC.",Y
1437405,"CAPITAL ONE SERVICES, LLC",Y
1437409,IKEA IT AKTIEBOLAG,Y
1437420,SONY NETWORK COMMUNICATIONS INC.,Y
1437426,"BLUESTEM BRANDS, INC.",Y
1437430,"INTUIT, INC.",Y
1437441,"CAPITAL ONE SERVICES, LLC",Y
1437448,DAGENS NYHETER AB,Y
1437450,SWISSCOM (SCHWEIZ) AG,Y
1437466,STARTS PUBLISHING CORPORATION,Y
1437545,"CARFAX, INC.",Y
1437553,LIFENET INSURANCE,Y
1437562,"HYUNDAI CAPITAL SERVICES, INC.",Y
1437566,"SEPHORA USA, INC.",Y
1437568,"HYUNDAI CARD CO., LTD.",Y
1437578,PENNWELL CORPORATION,Y
1437588,"NEW BALANCE ATHLETICS, INC",Y
1437598,"OPENTABLE, INC.",Y
1437612,MEDIACORP PTE LTD,Y
1437629,CHEBANCA S P A,Y
1437639,THE BOSTON GLOBE,Y
1437640,SPECIAL BROADCASTING,Y
1437645,"NITTO CO., LTD.",Y
1437664,AT&T SERVICES INC.,Y
1437666,BEST BUY PURCHASING LLC,Y
1437667,"AUTOTRADER.COM, INC.",Y
1437668,UNITED SERVICES AUTOMOBILE ASSOCIAT,Y
1437669,KINDRED (LONDON) LIMITED,Y
1437670,"SUNTRUST BANKS, INC.",Y
1437671,"T. ROWE PRICE ASSOCIATES, INC.",Y
1437673,BANK OF MONTREAL,Y
1437681,GOVERNMENT EMPLOYEES INSURANCE,Y
