Name,Rank,Website
Cerner,553,http://www.cerner.com
Coty,554,http://www.coty.com
Valspar,555,http://www.valspar.com
SCANA,556,http://www.scana.com
Bloomin’ Brands,557,http://www.bloominbrands.com
MDU Resources Group,558,http://www.mdu.com
Patterson,559,http://www.pattersoncompanies.com
Orbital ATK,560,http://www.orbitalatk.com
FM Global,561,http://www.fmglobal.com
Hyatt Hotels,562,http://www.hyatt.com
CA,563,http://www.ca.com
VWR,564,http://www.vwr.com
Science Applications International,565,http://www.saic.com
CF Industries Holdings,566,http://www.cfindustries.com
McCormick,567,http://www.mccormickcorporation.com
LPL Financial Holdings,568,http://www.lpl.com
Alon USA Energy,569,http://www.alonusa.com
Swift Transportation,570,http://www.swifttrans.com
Calumet Specialty Products Partners,571,http://www.calumetspecialty.com
MasTec,572,http://www.mastec.com
T. Rowe Price,573,http://www.troweprice.com
Andersons,574,http://www.andersonsinc.com
Coach,575,http://www.coach.com
Toll Brothers,576,http://www.tollbrothers.com
Graphic Packaging Holding,577,http://www.graphicpkg.com
Brunswick,578,http://www.brunswick.com
Atmos Energy,579,http://www.atmosenergy.com
Hexion,580,http://www.hexion.com
Watsco,581,http://www.watsco.com
Tiffany,582,http://www.tiffany.com
Regeneron Pharmaceuticals,583,http://www.regeneron.com
Avaya,584,http://www.avaya.com
Wynn Resorts,585,http://www.wynnresorts.com
Bemis,586,http://www.bemis.com
Mead Johnson Nutrition,587,http://www.meadjohnson.com
Tesla Motors,588,http://www.teslamotors.com
Agilent Technologies,589,http://www.agilent.com
Torchmark,590,http://www.torchmarkcorp.com
Thor Industries,591,http://www.thorindustries.com
Cabela’s,592,http://www.cabelas.com
Advanced Micro Devices,593,http://www.amd.com
Ametek,594,http://www.ametek.com
Smart & Final Stores,595,http://www.smartandfinal.com
Colfax,596,http://www.colfaxcorp.com
Under Armour,597,http://www.uabiz.com
Antero Resources,598,http://www.anteroresources.com
Nexeo Solutions Holdings,599,http://www.nexeosolutions.com
AGL Resources,600,http://www.aglresources.com
Leggett & Platt,601,http://www.leggett.com
Ulta Salon Cosmetics & Fragrance,602,http://www.ulta.com
CIT Group,603,http://www.cit.com
American Axle & Manufacturing,604,http://www.aam.com
Triumph Group,605,http://www.triumphgroup.com
Dynegy,606,http://www.dynegy.com
Fastenal,607,http://www.fastenal.com
WhiteWave Foods,608,http://www.whitewave.com
Welltower,609,http://www.welltower.com
Sally Beauty Holdings,610,http://www.sallybeautyholdings.com
CNO Financial Group,611,http://www.cnoinc.com
CommScope Holding,612,http://www.commscope.com
Axiall,613,http://www.axiall.com
Ingles Markets,614,http://www.ingles-markets.com
Flowers Foods,615,http://www.flowersfoods.com
USG,616,http://www.usg.com
